Dataset,freq_spw,Spectrum type,Species,QNs,Frequency (GHz),Velocity (km/s),Eu (K),Comment,Additional comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,"CH3CHOv=0,1&2","13(7,6)-12(7,5)A--",250.524485,61.52385198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3CH2CNv=0,"28(11,*)-27(11,*)",250.890447,0.4001996799,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OCHOv=0,"20(6,14)-19(6,13)A",251.285732,7.161204121,148.84492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,c-HCCCHv=0,"7(0,7)-6(1,6)",251.3143365,41.28264996,50.6686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,UnidentifiedTransition,U-251332,251.332,62.34902784,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2CHCNv=0,"26(2,24)-25(2,23)",251.505966,28.39608872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2CHCNv15=1,"26(2,24)-25(2,23)",251.71406,11.52100104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,34SO2v=0,"32(4,28)-32(3,29)",251.7583225,64.22652272,530.30852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,SO3&Sigma;v=0,5(6)-4(5),251.82577,57.37258877,50.66106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,NO,"J=5/2-3/2,&Omega;=1/2,F=3/2+-3/2-",250.475414,2.897681557,19.23047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,t-CH3CH2OH,"12(2,11)-11(1,10)",250.491558,22.2189022,70.16688,,,,,,,,,,,,,"12(2,11)-11(1,10)",...,,70.16688,,,,,,,,,,,,,,
,,mean,CH3OHvt=0-2,"11(0,11)-10(1,10)++",250.507016,40.71678074,0,,,,,,,,,,,"11(0,11)-10(1,10)++",...,,,,,,,0,,,,,,,,,,,
,,mean,"CH3CHOv=0,1&2","13(7,6)-12(7,5)A--",250.524485,61.61838311,0,,,,,,,,,,,,"13(7,6)-12(7,5)A--",...,,,,,,,0,,,,,,,,,,
,,mean,CH3OCHOv=0,"20(6,14)-19(6,13)A",251.285732,6.853371892,148.84492,,,,,,,,,,,,"20(6,14)-19(6,13)A",...,148.84492,,,,,,,,,,,,,,,,
,,mean,c-HCCCHv=0,"7(0,7)-6(1,6)",251.3143365,40.97485277,50.6686,,,,,,,,,,,,,,,,,"7(0,7)-6(1,6)",...,,,50.6686,,,,,,,,,
,,mean,UnidentifiedTransition,U-251332,251.332,62.04125228,0,,,,,,,,,,,,,,,,,,,,,,U-251332,...,,,,,,,0
,,mean,CH3CH2CNv=0,"28(5,24)-27(5,23)",251.501407,10.15762488,0,,,,,,,,,,,,,"28(5,24)-27(5,23)",...,,,,,,,0,,,,,,,,,
,,mean,CH2CHCNv=0,"26(2,24)-25(2,23)",251.505966,15.59172065,0,,,,,,,,,,,,,"26(2,24)-25(2,23)",...,,,,,,,0,,,,,,,,,
,250_spw25,max,CH3OCHOv=0,"33(4,29)-33(3,30)A",249.024531,6.228134952,346.77715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,c-HCCCHv=0,"5(2,3)-4(3,2)",249.054368,42.14287041,41.02111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,CH3OCHOv=0,"33(4,29)-33(3,30)A",249.024531,4.836816401,346.77715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,c-HCCCHv=0,"5(2,3)-4(3,2)",249.054368,40.75171854,41.02111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249_spw107,max,UnidentifiedTransition,U-246799,246.799,7.875812005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,H13CCCNv=0,J=28-27,246.82792,43.0005666,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HC3Nv7=2,"J=27-26,l=2f",247.209916,19.15438352,811.05927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH3OHvt=0-2,"4(2,2)-5(1,5)++",247.228737,41.97549007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,NaClv=0,19-18,247.239634,55.18688726,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH313CH2CN,"29(0,29)-28(0,28)",247.245424,62.20614275,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2CHCNv15=1,"26(8,*)-25(8,*)",247.24754,64.77130159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,g-CH3CH2OH,"15(1,15)-14(1,14),vt=1-1",248.178548,0.3766145714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,30SiC2,"11(2,10)-10(2,9)",248.1899,14.08885551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,UnidentifiedTransition,U-248213,248.213,41.98779847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,247_spw105,max,UnidentifiedTransition,U-245092,245.092,3.157252633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,CH2NH,"4(1,4)-3(1,3)",245.12579,44.48248598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,c-H13CCCH,"12(5,7)-12(5,8)",245.1407973,62.83278851,207.65664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,HC3Nv=0,J=27-26,245.60631,40.59348508,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,245_spw67,max,CH3OHvt=0-2,"18(6,12)-19(5,15)++",243.397816,14.16462007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,34SO2v=0,"18(1,17)-18(0,18)",243.9359586,65.40055081,162.81949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,c-H13CCCH,"13(6,7)-13(5,8)",243.9662781,73.96948857,248.61612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,H2CS,"7(1,6)-6(1,5)",244.04784,39.94481695,60.04465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,max,UnidentifiedTransition,U-244878,244.878,6.960822019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
